CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,2,0
,,-,,,,,,,,,2.0587360429607457,0.9367305963015435,3.0973699371981454,,5.8737379333060735,,,2.7532420861314812,2.0645734707329133,,2.407617755397161,3.2721375762607026,1.291028019652926,0.18435899699491348,,1.8246800632765814,,1.4536093350680706,1.0495221241283732,,8.70681073985781,,,11.69934528510897,7.787045669155028,0.4979645043746358,2.4857953167322853,,,2.4788186592132067,3.3092281713908425,,4.075492277392778,8.484567877274994,2.3570310636198673,1.292471288219642,,3.7642902348030893,3.0120322388051233,2.2478521335096135,1.1592821751951694,2.728860280434247,,4.267334463822806,,2.3692801149164744,8.262939280539866,1.9401199614353346,1.6046103835444914,0.5688652547400591,2.152701813570016,1.5974412349476816,,2.4450596213365117,0.08245117103565763,1.7950980649160946,2.1160697525951124,4.68135778832121,1.185751517483332,2.641240520289225,,,1.7962701408855815,3.808150988817052,3.8138081115701032,1.1294007223767857,2.031633252392272,4.249474762945303,3.1889496646456976,1.2190314694851692,2.9104814532612853,6.921304199692377,,0.9817871279916695,,3.069900580376262,4.407331439596412,6.678833381667373,1.41479703651329,2.458357662222492,,3.6854944843875175,0.0092920732793001,4.832093863259688,0.0037080083284003673,1.1585323443943223,3.971460936570792,0.9323269273818201,0.8249823806373094,0.5417939760323387,0.675482039182535,1.4091626027743542,0.09704715492884995,0.7346880915964359,0.35376271914424445,2.601078670518682,2.078892092937078,,0.015703390770110116,1.8283422507737461,5.129722019239275,2.1600523663646465,1.0804565380555542,1.0480840556337183,4.398616316288926,0.21004886601123982,,3.959839178251857,,,3.9746713511627476,2.4795796449538567,16.311906339972726,,4.066432669066901,1.4547952408094924,,1.0495080813270425,2.7930348412670094,1.3754455335155316,,,0.3354923375132867,,,0.6886810486922178,3.2129449775990326,7.527612551019114,0.3922376882358501,,3.344672421917877,0.3287036108292287,,0.20250818763008605,4.569966010453822,4.937063956343007,14.478474674350709,,0.3983044180633764,,1.2579201448302437,,1.8547277178396389,2.4653634300888743,,9.129441320568265,2.4626430142001055,4.020815307167423,1.531034110125939,0.4897787946783935,,0.601074150362946,5.3103146933116525,5.1972413780748985,1.4904121151882601,3.5028702467090307,,,,7.853536326797325,,,0.7124800231451822,2.729012487853301,,,5.93896718433297,,4.048107282899358,1.2798196015771632,14.60806490286515,1.5381600960327495,1.3388599080205432,0.9476935763679388,1.8334842487504692,4.098755869608457,0.6677702294333552,5.90692524869087,1.1439671593487768,0.9095922530448788,1.7955188199355812,0.7018008767017182,1.7737511707116078,2.1838751095410416,,4.008788637941709,,,0.48207202866440824,1.0237384950004182,1.9375009169252515,1.0381227088637455,,,4.788470622812841,2.92303389000208,0.6694199214308619,2.2957898201966627,2.1042721074689315,2.5790945538558114,1.8666356430027071,0.8158328751806431,,1.3420150401762003,2.5602592437333547,0.20585680614318008,2.4325853827695942,0.619747882376533,,,0.6388118181726296,,,,,,,,,,,,
,,-,,,,,,,,,8692.0,3096.0,23393.0,,8912.0,,83.0,89103.0,2880.0,,56460.0,16058.0,7117.0,439.0,,50847.0,329.0,12914.0,40077.0,929.0,5184.0,51.0,,5804.0,4327.0,979.0,418630.0,,261.0,9463.0,7715.0,,6592.0,11870.0,77222.0,331.0,,1987.0,3147.0,29003.0,1167788.0,32409.0,,2017.0,,7749.0,15251.0,4658.0,10778.0,1271.0,16931.0,13447.0,,20450.0,373.0,100.0,5988.0,17291.0,62724.0,5524.0,,,2347.0,24896.0,1227.0,7898.0,134566.0,1109.0,752.0,3785.0,135505.0,19363.0,,18837.0,,10443.0,4968.0,787.0,1455.0,3503.0,,5336.0,8118.0,16765.0,3890.0,497466.0,140250.0,61457.0,13273.0,12336.0,9148.0,89659.0,2299.0,92284.0,4356.0,17857.0,20387.0,236.0,1987.0,4208.0,3564.0,3646.0,4375.0,1061.0,1486.0,4730.0,,7461.0,1062.0,,10653.0,7363.0,39106.0,527.0,6452.0,528.0,,1867.0,1595.0,99193.0,,,1271.0,,,24083.0,9969.0,25637.0,2278.0,,12727.0,65245.0,,21787.0,3472.0,5924.0,111175.0,,10637.0,,87140.0,,2111.0,2939.0,,10089.0,37409.0,58844.0,50070.0,15357.0,,43560.0,4335.0,26836.0,150228.0,6206.0,39.0,162.0,148.0,248.0,,125.0,17256.0,5161.0,,,2376.0,,6286.0,2576.0,667.0,3531.0,35879.0,72953.0,10292.0,23981.0,425.0,1312.0,14416.0,10120.0,14138.0,3281.0,75622.0,2108.0,386.0,2716.0,,,1091.0,8663.0,75902.0,3467.0,,,20498.0,61057.0,10274.0,82589.0,22506.0,541068.0,6175.0,16515.0,750.0,18586.0,57148.0,7782.0,4889.0,5139.0,,,19003.0,,,,,,,,,,,,
,,-,,,,,,,,,252.407892506985,2781.5107267411604,3038.7487134184603,31268.9667449795,1706.54362145176,,12079.8654817035,5767.65701197619,1625.39690429443,23302.8319880055,33995.8516729703,38241.091364843,1578.3673303066698,23416.9036853364,18156.3774747039,421.123311373275,14224.9824540882,3126.3677777946195,36927.1043436191,4097.538614298321,532.6109982448111,75882.0338560339,1258.99099366209,1020.79030527715,2810.3770289573604,5294.37947401723,4739.30543674805,,25913.578374586697,3785.6546302489396,406.998837384044,143.78352946677,471.16250293685204,914.5496074339909,36029.3226661828,2030.6589816627802,,340.907866947196,663.709751262066,7614.52205797519,1731.1252345789999,3392.92441342523,633.181271481486,1718.10081545284,,4621.36412732799,982.231426540033,10224.3040301629,3776.47054864481,22430.606420437598,13317.720569339099,,221.44968892378503,48816.7544606487,912.499204499914,5250.35256117448,3635.7068122228206,3012.7524373543397,1249.4932602466902,2814.9350403406297,13612.8479266932,226.28985677138303,10336.1049272044,162.814609719006,3655.66383635931,38968.2023940964,34880.5757980337,6281.954683555289,434.49544402009,1469.97462476448,34649.916345324506,501.864294709112,,22326.4864042401,6754.381055216701,2146.1800862696696,306.70117908772204,412.793277636565,1084.17940095207,448.584830056846,,1401.97876727268,26649.750801707003,11092.430803431398,56611.3337271198,740.114260589222,1273.46514821735,2737.11211758753,1824.69986637568,50567.8122999107,20376.6997366445,31973.130908183502,4189.65588264366,35781.1662651372,2326.4951867752497,3771.27895733845,523.6138546890351,1173.3141497314,35185.9306721465,476.48009761230696,472.408463061529,7165.37769860832,5339.42388043105,710.520978938353,165.76008338160298,7864.93757205802,105306.74662665,7851.0421046418405,79593.5543844514,25189.7793561308,275.515822511113,213.156674537549,5553.94358208311,3335.19499993933,444.284643604966,14810.035201941999,2645.98140535557,590.508200822039,5116.03964225907,7823.825497877159,2352.6394094050697,126599.40327662801,998.7563598651759,3665.3153206878205,,1948.2019973870601,313.107929672144,,3582.2438599574702,,321.455018647745,41198.700847217006,,27526.41981683,1158.99700791218,258.281760331253,804.152366679216,,65767.0196076045,12322.727970393798,693.176689661754,10359.8030843422,1455.9336810990899,4594.48193945862,798.7311361615981,1479.40377834069,2704.0022936903197,1200.9381783859899,7976.1160714021,18784.4812816727,54228.8317148486,18657.461133478402,831.159109238569,4651.69226074024,5338.412140510511,273.76610076083097,11053.7445485304,5655.52368219813,5064.2181255960795,2571.27663881208,46193.67269477389,797.1963075459371,13303.3097384511,772.5267929638161,3528.1310077579205,11060.7975962978,317.946576330965,29869.632763575803,11665.51420858,18168.1499676308,881.961618392404,,5444.10009887307,26510.058081173,1242.4043496628,669.396684893929,3590.5410423330104,2339.30037406391,43085.4204089721,54798.5734843823,1588.5056715836402,339.764442809462,2689.9531474965197,2863.96317970822,499.54776175132696,381.7820196676,,2622.94922539024,12405.0561484997,3218.96108071481,7129.58487741318,1706.95672639245,,2252.89288563217,313.798989983848,1828.7176257659803,43533.8917822307,39934.9046168504,374.9992699214,44307.8326033388,5221.67318642245,546.776850185552,1886.38830966499,5444.662517851961,699.499778976509,831.880289756907,726.403488112066,452.78902496178597,,,,29903.284035427998,,,21959.322707595602,36289.8796226646,,,,2194.37265074737,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1.417789875017213,0.7069221985998679,2.321958599703801,,5.520958880352587,,,2.5776375597432923,2.0425285726087776,,2.02092887644488,3.35411244754502,1.2929853799239484,0.19217065060371616,,1.7341899032361296,,1.8237160196153914,1.338459552531421,4.386147374007833,9.089687346578557,,,13.661333214995093,5.632873332453123,0.509822376079472,2.4500525738745167,,0.23388365187840224,2.894758382507995,2.749448014946592,,3.1244930027264743,6.698177729541444,2.255147079056443,1.6924443448858948,,3.739833591863368,2.9217125232618497,1.7393781885963513,1.2415338048392033,3.028015653758585,,3.831503591693839,,3.4437012922130177,6.582390662783326,1.9069108762226714,2.39448527110011,1.02409519929487,2.3375478570359784,1.608112680812869,,2.407670359838047,0.06220850032966492,2.0931518083587886,2.0944907371512334,4.072564279633211,1.4609124811722995,3.4268779441920323,,,1.3339473081070923,3.3940099740355554,3.394655009644513,1.0194248032898496,2.1067030836475062,4.626883180107015,3.830177947583143,1.240861316673116,3.169094491161069,7.0043333984191385,,0.9581623591112203,,3.0876540323366277,4.079498179120542,6.743721086013987,1.3199282690385292,2.41909488994666,,3.456236097665648,0.01011656753794989,4.713995396760431,0.0031020086692790513,1.1387442129024539,3.560477856166579,0.9374315148657031,0.7093014555847406,0.7121912153333708,0.6025730955613067,1.3835142868215828,0.11666093526576435,0.7063537873438275,0.32092228288101643,1.752222794239102,2.346145484436785,,0.01808629486119751,2.3053508939073994,4.921312896030779,1.8658020478362018,1.042868668054764,1.0976505698577117,4.277816025212489,0.28192273729433825,,3.4859562006749387,,,3.7150864196689493,2.965386885372908,14.070205760389634,,2.119114491447196,1.693707938968747,,0.3697260907340345,2.9956736499386505,1.6721778292595288,,,0.5508132052822357,,,1.1650932843656738,3.830324303225481,6.319244886445277,0.44002482075072025,,3.2619519381837465,0.3330992799327849,,0.26764213237976625,4.005205609627266,3.834580197498217,15.535092545347476,,0.4356188590964583,,1.2763312799608577,,1.6730655485520252,2.5781971256384457,,7.196606734651111,1.9813104119163334,3.448567433783913,1.8357739854257373,0.645582317031193,,0.624296555482443,5.374844524928272,6.693986697911496,1.5288022531250525,3.397608359134193,,,,7.586158294963647,,,0.7136443956748759,2.162400761001282,,,6.449310042073136,,4.226616277427964,1.267633061824677,13.335283394168933,2.0092924640556395,1.0462268832482942,1.2817126158717078,1.729111960912102,2.7718475802749847,0.681242410271553,5.414819528477804,1.1569659775553651,0.9663661009470917,2.0470938779974173,0.6037225100064605,1.7486227902074218,1.7414771856761864,,4.509062129378053,,,0.6678826647491375,1.0568370015197888,1.8360029266754168,1.0619837286904634,,,4.8108098849871475,3.945460485686625,0.5893379282146939,2.342042712815,2.4478360594091337,2.698657555477591,1.9272134168949262,0.6601360865780304,,2.1236607907118477,2.0859920185511704,0.18715163281367617,2.5240452763529717,0.98578012972168,,,0.6588663844805109,,,,,,,,,,,,
,,-,,,,,,,,,1.417789875017213,0.7069221985998679,2.321958599703801,,5.520958880352587,,,2.5776375597432923,2.0425285726087776,,2.02092887644488,3.35411244754502,1.2929853799239484,0.19217065060371616,,1.7341899032361296,,1.8237160196153914,1.338459552531421,4.386147374007833,9.089687346578557,,,13.661333214995093,5.632873332453123,0.509822376079472,2.4500525738745167,,0.23388365187840224,2.894758382507995,2.749448014946592,,3.1244930027264743,6.698177729541444,2.255147079056443,1.6924443448858948,,3.739833591863368,2.9217125232618497,1.7393781885963513,1.2415338048392033,3.028015653758585,,3.831503591693839,,3.4437012922130177,6.582390662783326,1.9069108762226714,2.39448527110011,1.02409519929487,2.3375478570359784,1.608112680812869,,2.407670359838047,0.06220850032966492,2.0931518083587886,2.0944907371512334,4.072564279633211,1.4609124811722995,3.4268779441920323,,,1.3339473081070923,3.3940099740355554,3.394655009644513,1.0194248032898496,2.1067030836475062,4.626883180107015,3.830177947583143,1.240861316673116,3.169094491161069,7.0043333984191385,,0.9581623591112203,,3.0876540323366277,4.079498179120542,6.743721086013987,1.3199282690385292,2.41909488994666,,3.456236097665648,0.01011656753794989,4.713995396760431,0.0031020086692790513,1.1387442129024539,3.560477856166579,0.9374315148657031,0.7093014555847406,0.7121912153333708,0.6025730955613067,1.3835142868215828,0.11666093526576435,0.7063537873438275,0.32092228288101643,1.752222794239102,2.346145484436785,,0.01808629486119751,2.3053508939073994,4.921312896030779,1.8658020478362018,1.042868668054764,1.0976505698577117,4.277816025212489,0.28192273729433825,,3.4859562006749387,,,3.7150864196689493,2.965386885372908,14.070205760389634,,2.119114491447196,1.693707938968747,,0.3697260907340345,2.9956736499386505,1.6721778292595288,,,0.5508132052822357,,,1.1650932843656738,3.830324303225481,6.319244886445277,0.44002482075072025,,3.2619519381837465,0.3330992799327849,,0.26764213237976625,4.005205609627266,3.834580197498217,15.535092545347476,,0.4356188590964583,,1.2763312799608577,,1.6730655485520252,2.5781971256384457,,7.196606734651111,1.9813104119163334,3.448567433783913,1.8357739854257373,0.645582317031193,,0.624296555482443,5.374844524928272,6.693986697911496,1.5288022531250525,3.397608359134193,,,,7.586158294963647,,,0.7136443956748759,2.162400761001282,,,6.449310042073136,,4.226616277427964,1.267633061824677,13.335283394168933,2.0092924640556395,1.0462268832482942,1.2817126158717078,1.729111960912102,2.7718475802749847,0.681242410271553,5.414819528477804,1.1569659775553651,0.9663661009470917,2.0470938779974173,0.6037225100064605,1.7486227902074218,1.7414771856761864,,4.509062129378053,,,0.6678826647491375,1.0568370015197888,1.8360029266754168,1.0619837286904634,,,4.8108098849871475,3.945460485686625,0.5893379282146939,2.342042712815,2.4478360594091337,2.698657555477591,1.9272134168949262,0.6601360865780304,,2.1236607907118477,2.0859920185511704,0.18715163281367617,2.5240452763529717,0.98578012972168,,,0.6588663844805109,,,,,,,,,,,,
,,-,,,,,,,,,9259.0,3128.0,22759.0,,8529.0,,57.0,72282.0,2575.0,,68673.0,14632.0,6504.0,379.0,,50370.0,283.0,11723.0,39326.0,710.0,5212.0,51.0,,5821.0,4270.0,973.0,400926.0,,258.0,8064.0,8180.0,,5130.0,11142.0,75312.0,306.0,,1924.0,3281.0,24975.0,1130032.0,32115.0,,2171.0,,7391.0,14938.0,4371.0,12842.0,1329.0,14152.0,13434.0,,20527.0,308.0,108.0,5445.0,16413.0,62294.0,4065.0,,,1871.0,23763.0,1046.0,8129.0,129298.0,1083.0,756.0,3899.0,131206.0,19271.0,,18348.0,86.0,9679.0,4850.0,695.0,1418.0,3396.0,,5098.0,8408.0,14693.0,4056.0,487612.0,136148.0,56477.0,13960.0,11875.0,9290.0,89315.0,2503.0,92308.0,4143.0,18064.0,17466.0,,1757.0,4374.0,3222.0,2879.0,4481.0,988.0,1403.0,4434.0,,5756.0,1017.0,,9738.0,6973.0,36055.0,484.0,5789.0,525.0,,1814.0,1574.0,97910.0,,,1233.0,,,22839.0,9735.0,25038.0,2306.0,,12188.0,61206.0,,23143.0,3289.0,6462.0,106071.0,,10311.0,,84024.0,,2024.0,2763.0,,8869.0,33602.0,56296.0,47442.0,15677.0,,42973.0,3701.0,25329.0,132980.0,6014.0,59.0,168.0,152.0,230.0,,117.0,16926.0,5570.0,,,2253.0,,5330.0,2476.0,606.0,3398.0,32734.0,73699.0,10347.0,22029.0,400.0,2734.0,14006.0,9766.0,14796.0,3032.0,85581.0,2023.0,393.0,2627.0,,,992.0,8745.0,71348.0,3352.0,,,20378.0,54533.0,7543.0,81380.0,21625.0,542772.0,5358.0,16050.0,698.0,18813.0,53710.0,7510.0,4496.0,4446.0,,,19895.0,,,,,,,,,,,,
,,-,,,,,,,,,234.99662508883702,2623.04635608609,2912.29029842038,30329.5899130207,1494.29729694783,,11505.185525274399,5328.560129517639,1422.4036239209,23517.5736059813,33374.0343032651,37695.5624507375,1261.53890808198,23117.758149460202,18228.6991100046,402.80036354270203,13746.7832291181,2838.06202915928,36440.617421826,4098.25074331477,534.73882294111,75117.2791650654,1205.9175342109,995.347243489565,2671.8013864596,5121.15957732033,4647.527247449761,,26315.6582728274,3553.93344813062,385.695570686179,147.42678055399,422.587750873934,917.422914980024,35270.637923545095,1919.71629158017,,343.679658197471,586.1142905515101,7289.1177424155,1564.40199607053,3290.42752338704,631.849828730083,1637.8964067064999,,4440.302510146311,984.1745280904511,9822.23179543941,3401.69210786789,22112.5209283935,12529.0038897881,,214.773439504198,47786.841672934504,896.949494727039,5271.20487222025,3376.6294995531703,2913.80909473382,1216.1114291915699,2728.08614319257,12011.4568784265,229.52570375985198,9387.984947864541,149.73631589161698,3645.71730719758,38044.187692597996,34588.2468685914,6244.09232990205,452.684945396876,1354.6085611527,34387.2807180478,486.380035390365,,22203.758691066,5980.1127533239505,2130.70404125022,304.020997513442,404.652169052379,1111.50954436066,447.009643074055,,1348.65111211922,24924.935935272202,10618.0976022711,54258.0226130508,687.3061599399209,1222.2294852119999,2646.72620322215,1793.88398139381,48906.56365802,19876.666500431,31828.4008848285,,35324.3468168764,2200.09870045958,3468.50589158568,507.90988486931394,1195.60698098007,33418.2253830748,482.73199470771203,448.143739321307,6408.95934528905,5378.74533203426,696.812049048419,155.452790608649,7270.092009430699,101316.97240565301,7165.18641652428,77619.556590884,23689.9937651373,271.20681109382303,213.13557808179297,5372.234083466579,3715.31944145394,432.15064304401903,14377.711568623601,2574.3672396411603,576.647268764424,5083.31787733344,7687.28523031744,2294.7380399762196,125965.830765919,942.495599024812,3524.3951015505395,,1910.1934071392602,296.177185498305,,3535.2188640363397,,315.260872573497,40385.4176917491,,26967.9635359063,1125.62320154813,256.395339957997,797.8757194588879,,64545.430194404806,12307.889559841598,655.51545659361,10334.6276954454,1345.04161676792,4367.46494048435,769.7005388784869,1476.21343538535,2573.75675899228,1167.81202424199,7699.505510104759,18676.158705063797,57506.2390057975,17989.9114082991,771.3844723319941,4432.9409961601095,4993.74667210305,260.911134745752,10267.056612910601,5820.674961859139,4949.79030931005,2484.32420779911,45893.75279451191,804.0122045894279,12845.997761567,751.626490410251,3332.8909224575896,10196.1819133679,316.598998679296,28449.4242478654,10950.653260917099,17499.1536081828,857.583592710195,,5239.97202017109,25993.9451020539,1181.98818646466,640.809315599436,3476.2535386506397,2303.67363186549,42072.345111272996,53524.5029581279,1537.34717727683,325.201901100022,2590.19311678905,2750.19645354203,477.941784184784,387.27966802115895,,2578.2659755954,11788.4469821573,3130.70093228839,6665.3074260151,1526.4263547866,,2353.04227580925,305.29139694967097,1767.6396613635998,47081.1580731954,39112.3400912104,359.036611341847,43270.37046071,4861.12124212906,516.985910012191,1837.3771565077698,5022.73846103698,658.044534337091,808.994770099545,695.295246614583,480.87814059562896,,,,29335.1796128771,,,21803.6952757791,34563.6042889181,,,,2070.91999179952,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1.7817540574885975,0.8103252733691456,3.2992588102297,,5.263771964015803,,,3.2573301378517128,1.6544981963951384,,2.541766067321193,1.6176965941871007,1.697261940066728,0.18992360964919341,,1.8481253548829504,,1.5113788608481418,1.0165708498554655,1.3345468883381404,9.259319280091537,,,12.755755067883536,7.729359239465292,0.509861740991653,2.437321306645171,,0.20788477280592327,1.3265589077916433,3.561529638362399,,3.365019493802304,7.31798261381525,2.308635517029702,1.945907340083516,,3.6907357622063057,4.00444344683281,2.307676973632069,1.2781120015661742,2.983630025657238,,4.297169903784502,,2.2823712805532015,6.607382124749801,1.3994815699624215,2.580903459013883,0.9847314153823801,1.6223056854756714,1.6103529630974374,,2.1920231486518427,0.08628499082258535,3.0136451900178938,2.1549116396322003,4.0766728017518234,1.4810263566084971,3.6011711273817553,,,1.0603724244139974,3.4718337270178883,4.510603174568085,1.0267478513516277,1.6910194834169185,4.95798799321912,3.200337511556403,1.4253172714176379,2.4954033848378074,7.623016194659447,,0.8206132551278555,,3.086411874158447,3.9166874588588585,5.338625314187707,1.5176643115955015,2.3868337471696335,,5.249087557408867,0.009746453180308206,2.585538437029303,0.0019677097872019696,1.193484865502862,3.877055858783203,0.9973096513301261,0.6578250928892287,0.5376336618768663,0.5823218776466299,1.1156222327799967,0.20190375757341886,0.6677054696884438,0.2589673458610108,1.9628263962595531,2.0912697153945525,,0.01999711659082543,1.9008071665946156,4.7847129324124955,1.9811662235738177,0.9408691671943628,1.2775176707874967,4.376305327294488,0.33041169453580366,,4.136455185948547,,,3.4590873713275374,3.3914097459103556,18.207555367748093,,3.5976547855960934,1.7495196969231404,,0.5731661616472139,3.055222619412692,1.6687200191912193,,,0.6984348054139162,,,1.1895943616106028,3.91590935199709,6.403558586828559,0.38872605915539094,,3.301651762823631,0.31578893522124646,,0.23153195867092533,4.542259449549786,5.249943598376487,13.713123326823666,,0.38478171572595904,,1.2148981617023764,,1.9451643804097172,2.214375338046371,,8.059470158986862,2.467359472067877,3.313354051511384,1.5159516469210768,0.6361122538082935,,0.5140972716468158,3.2239438025253917,3.966055512644432,1.2410519425038473,3.6089396737965083,,,,6.100637612407382,,4.460429373739141,0.6827363244201352,2.349052710085678,,,5.982981250237899,,3.0671568243701133,0.8297846657116801,12.467713677091224,2.027226018369927,1.129638320903195,1.126743461742515,1.9940178830805888,3.78647052772902,0.7385711500237073,5.6890219124770525,1.141476974783986,0.8197037194284914,2.357444908799465,0.5902170359860756,1.8062090331283727,2.213251729560231,,4.309792760300726,,,0.8751195870596851,1.2207987170645709,1.8249573104271508,1.1175162487986101,,,5.1089273395052,2.6732701811991944,0.46765769009283803,2.12728472359924,1.8438640846569692,2.548835580324712,1.5447650061800207,0.6462018505498,,1.896559458569675,2.2696490157192386,0.21433469637672384,2.6607130564415544,0.6716451032617471,,,0.7568875002402068,,,,,,,,,,,,
